Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
3043,,,,Kiiova küla,Kiiova village,Деревня Кийова,0732,3,"Võru maakond, Setomaa vald, Kiiova küla","Võru county, Setomaa rural municipality, Kiiova village","Выруский уезд, волость Сетомаа, деревня Кийова",,1,,
3057,,,,Kiislova küla,Kiislova village,Деревня Кийслова,0732,3,"Võru maakond, Setomaa vald, Kiislova küla","Võru county, Setomaa rural municipality, Kiislova village","Выруский уезд, волость Сетомаа, деревня Кийслова",,1,,
3072,,,,Kiksova küla,Kiksova village,Деревня Киксова,0732,3,"Võru maakond, Setomaa vald, Kiksova küla","Võru county, Setomaa rural municipality, Kiksova village","Выруский уезд, волость Сетомаа, деревня Киксова",,1,,
3165,,,,Kitsõ küla,Kitsõ village,Деревня Китсы,0732,3,"Võru maakond, Setomaa vald, Kitsõ küla","Võru county, Setomaa rural municipality, Kitsõ village","Выруский уезд, волость Сетомаа, деревня Китсы",,1,,
3198,,,,Klistina küla,Klistina village,Деревня Клистина,0732,3,"Võru maakond, Setomaa vald, Klistina küla","Võru county, Setomaa rural municipality, Klistina village","Выруский уезд, волость Сетомаа, деревня Клистина",,1,,
3291,,,,Koidula küla,Koidula village,Деревня Койдула,0732,3,"Võru maakond, Setomaa vald, Koidula küla","Võru county, Setomaa rural municipality, Koidula village","Выруский уезд, волость Сетомаа, деревня Койдула",,1,,
3357,,,,Kolodavitsa küla,Kolodavitsa village,Деревня Колодавитса,0732,3,"Võru maakond, Setomaa vald, Kolodavitsa küla","Võru county, Setomaa rural municipality, Kolodavitsa village","Выруский уезд, волость Сетомаа, деревня Колодавитса",,1,,
3359,,,,Kolossova küla,Kolossova village,Деревня Колоссова,0732,3,"Võru maakond, Setomaa vald, Kolossova küla","Võru county, Setomaa rural municipality, Kolossova village","Выруский уезд, волость Сетомаа, деревня Колоссова",,1,,
3444,,,,Korela küla,Korela village,Деревня Корела,0732,3,"Võru maakond, Setomaa vald, Korela küla","Võru county, Setomaa rural municipality, Korela village","Выруский уезд, волость Сетомаа, деревня Корела",,1,,
3453,,,,Koorla küla,Koorla village,Деревня Коорла,0732,3,"Võru maakond, Setomaa vald, Koorla küla","Võru county, Setomaa rural municipality, Koorla village","Выруский уезд, волость Сетомаа, деревня Коорла",,1,,
3455,,,,Korski küla,Korski village,Деревня Корски,0732,3,"Võru maakond, Setomaa vald, Korski küla","Võru county, Setomaa rural municipality, Korski village","Выруский уезд, волость Сетомаа, деревня Корски",,1,,
3466,,,,Kossa küla,Kossa village,Деревня Косса,0732,3,"Võru maakond, Setomaa vald, Kossa küla","Võru county, Setomaa rural municipality, Kossa village","Выруский уезд, волость Сетомаа, деревня Косса",,1,,
3475,,,,Kostkova küla,Kostkova village,Деревня Косткова,0732,3,"Võru maakond, Setomaa vald, Kostkova küla","Võru county, Setomaa rural municipality, Kostkova village","Выруский уезд, волость Сетомаа, деревня Косткова",,1,,
3495,,,,Kremessova küla,Kremessova village,Деревня Кремессова,0732,3,"Võru maakond, Setomaa vald, Kremessova küla","Võru county, Setomaa rural municipality, Kremessova village","Выруский уезд, волость Сетомаа, деревня Кремессова",,1,,
